clust,index,Disponibilite alimentaire (Kcal/personne/jour),Production,Disponibilite interieure,Exportations,Importations,Conso_Volaille,Viande_tot,Population 2016,Population 2017,Variation_Population,PIB,Groupe
0,80.12621359223301,106.63106796116504,546.6699029126214,556.8834951456311,90.33009708737865,123.58252427184466,527.3495145631068,1311.0,20792957.145631067,20939270.524271846,0.6563106796116505,28016.596116504854,5.902912621359223
1,74.66666666666667,160.66666666666666,18117.0,15469.666666666666,2830.3333333333335,192.66666666666666,15200.0,48736.333333333336,647742799.6666666,651313456.6666666,0.6433333333333333,24813.133333333335,1.3333333333333333
2,94.37878787878788,20.59090909090909,169.3030303030303,198.83333333333334,0.7575757575757576,28.984848484848484,178.5,471.6515151515151,48540948.42424242,49365099.53030303,2.1827272727272726,5698.2939393939405,4.015151515151516
